,協和#1,協和#2,協和#3,協和#4,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,台中Gas1&2,台中Gas3&4,南部CC#1,南部CC#2,南部CC#3,南部CC#4,烏來&桂山&粗坑,桂山發電廠,桂山發電廠.1,桂山發電廠.2,桂山發電廠.3,翡翠#1,桂山發電廠.4,林口#1,林口#2,麥寮#1,麥寮#2,麥寮#3,國光#1,星彰#1,星元#1,嘉惠#1
2016/12/17 02:00,-17.730484138,-17.730484138,-17.730484138,-17.730484138,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-16.7653110908,-21.8094335936,-21.8094335936,-21.8094335936,-21.8094335936,11.5172404459,11.5172404459,11.5172404459,11.5172404459,11.5172404459,11.5172404459,11.5172404459,-6.61287268015,-6.61287268015,-17.0052936866,-17.0052936866,-17.0052936866,-9.63128334541,3.03642321908,2.94423389154,2.44353698775
2016/12/17 02:10,-17.1539782006,-17.1539782006,-17.1539782006,-17.1539782006,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-17.478406863,-20.6999239655,-20.6999239655,-20.6999239655,-20.6999239655,11.1922099876,11.1922099876,11.1922099876,11.1922099876,11.1922099876,11.1922099876,11.1922099876,-6.32538001017,-6.32538001017,-13.4438254963,-13.4438254963,-13.4438254963,-9.64717720775,4.38812125641,4.23124590416,3.07657886355
2016/12/17 02:20,-16.5339527881,-16.5339527881,-16.5339527881,-16.5339527881,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-14.7412960222,-19.2898553952,-19.2898553952,-19.2898553952,-19.2898553952,15.2361156734,15.2361156734,15.2361156734,15.2361156734,15.2361156734,15.2361156734,15.2361156734,-6.14456941611,-6.14456941611,-10.3899353575,-10.3899353575,-10.3899353575,-8.88740456717,2.64805472716,2.67344324642,4.11394831658
2016/12/17 02:30,-18.5937177811,-18.5937177811,-18.5937177811,-18.5937177811,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-16.0070747852,-15.9100681683,-15.9100681683,-15.9100681683,-15.9100681683,15.299491353,15.299491353,15.299491353,15.299491353,15.299491353,15.299491353,15.299491353,-5.90278835053,-5.90278835053,-10.6176413327,-10.6176413327,-10.6176413327,-9.52028930765,1.17327581686,1.37440992388,4.23580578045
2016/12/17 02:40,-13.9582629106,-13.9582629106,-13.9582629106,-13.9582629106,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-12.211490659,-14.7568968166,-14.7568968166,-14.7568968166,-14.7568968166,14.1091898162,14.1091898162,14.1091898162,14.1091898162,14.1091898162,14.1091898162,14.1091898162,-4.57260753944,-4.57260753944,-6.71783844034,-6.71783844034,-6.71783844034,-8.77813352278,2.58804590865,2.63167604526,7.00621952146
2016/12/17 02:50,-14.5477110213,-14.5477110213,-14.5477110213,-14.5477110213,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-12.9813880924,-13.7792216916,-13.7792216916,-13.7792216916,-13.7792216916,18.3608712691,18.3608712691,18.3608712691,18.3608712691,18.3608712691,18.3608712691,18.3608712691,-5.76511606455,-5.76511606455,-7.20820214519,-7.20820214519,-7.20820214519,-9.14436473971,1.80872813664,1.94568149903,7.06567571333
2016/12/17 03:00,-16.7078443001,-16.7078443001,-16.7078443001,-16.7078443001,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-8.90995794026,-10.399641973,-10.399641973,-10.399641973,-10.399641973,11.3399900439,11.3399900439,11.3399900439,11.3399900439,11.3399900439,11.3399900439,11.3399900439,-6.73515996937,-6.73515996937,-3.01858932927,-3.01858932927,-3.01858932927,-9.437063665,0.669553256682,0.834446872335,4.34409492093
2016/12/17 03:10,-13.2223203989,-13.2223203989,-13.2223203989,-13.2223203989,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-10.5105390254,-9.81534612839,-9.81534612839,-9.81534612839,-9.81534612839,14.6390481369,14.6390481369,14.6390481369,14.6390481369,14.6390481369,14.6390481369,14.6390481369,-5.45578943333,-5.45578943333,-9.38678406788,-9.38678406788,-9.38678406788,-8.62538812883,0.117451904231,0.165562860783,7.41914577779
2016/12/17 03:20,-13.9327427103,-13.9327427103,-13.9327427103,-13.9327427103,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-12.7199934912,-9.84174295486,-9.84174295486,-9.84174295486,-9.84174295486,17.5300752058,17.5300752058,17.5300752058,17.5300752058,17.5300752058,17.5300752058,17.5300752058,-6.94602757193,-6.94602757193,-8.19219574331,-8.19219574331,-8.19219574331,-9.68955395829,-1.12135551938,-1.04817265496,8.19494607682
2016/12/17 03:30,-16.9269718949,-16.9269718949,-16.9269718949,-16.9269718949,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.68219246592,-9.46021539683,-9.46021539683,-9.46021539683,-9.46021539683,13.120780969,13.120780969,13.120780969,13.120780969,13.120780969,13.120780969,13.120780969,-7.66570816488,-7.66570816488,-9.22678836862,-9.22678836862,-9.22678836862,-9.30285730897,2.98792667094,2.31606251625,9.20811708725
2016/12/17 03:40,-13.8729182086,-13.8729182086,-13.8729182086,-13.8729182086,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-10.3578260546,-7.98614472749,-7.98614472749,-7.98614472749,-7.98614472749,18.0120295222,18.0120295222,18.0120295222,18.0120295222,18.0120295222,18.0120295222,18.0120295222,-5.59697297414,-5.59697297414,-8.45287886058,-8.45287886058,-8.45287886058,-8.89753371951,9.15000044141,7.03581636743,7.09467682807
2016/12/17 03:50,-14.1075644685,-14.1075644685,-14.1075644685,-14.1075644685,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-11.4554796684,-9.22850214995,-9.22850214995,-9.22850214995,-9.22850214995,17.5623017277,17.5623017277,17.5623017277,17.5623017277,17.5623017277,17.5623017277,17.5623017277,-6.53108796622,-6.53108796622,-8.4892475655,-8.4892475655,-8.4892475655,-8.95194354467,6.16199543978,4.70595333918,7.68539432398
2016/12/17 04:00,-15.3554874174,-15.3554874174,-15.3554874174,-15.3554874174,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-9.3689479068,-8.68505824253,-8.68505824253,-8.68505824253,-8.68505824253,10.5799474795,10.5799474795,10.5799474795,10.5799474795,10.5799474795,10.5799474795,10.5799474795,-6.85639069297,-6.85639069297,-4.97110896915,-4.97110896915,-4.97110896915,-8.5582679334,1.69960720988,0.990741745084,7.58122998035
2016/12/17 04:10,-12.2836982615,-12.2836982615,-12.2836982615,-12.2836982615,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-8.54815519879,-9.447489152,-9.447489152,-9.447489152,-9.447489152,18.5847293405,18.5847293405,18.5847293405,18.5847293405,18.5847293405,18.5847293405,18.5847293405,-7.7362587659,-7.7362587659,-6.43939870976,-6.43939870976,-6.43939870976,-8.52126809119,-1.52667786795,-1.89113990919,6.12797516666
2016/12/17 04:20,-14.1354083427,-14.1354083427,-14.1354083427,-14.1354083427,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.86379208908,-9.92107963278,-9.92107963278,-9.92107963278,-9.92107963278,17.1187524988,17.1187524988,17.1187524988,17.1187524988,17.1187524988,17.1187524988,17.1187524988,-7.29289846331,-7.29289846331,-3.9559673718,-3.9559673718,-3.9559673718,-8.51908428274,-2.35106767554,-2.40942885417,6.7807624248
2016/12/17 04:30,-13.1331232367,-13.1331232367,-13.1331232367,-13.1331232367,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-9.79679920359,-12.8295901268,-12.8295901268,-12.8295901268,-12.8295901268,19.5123437861,19.5123437861,19.5123437861,19.5123437861,19.5123437861,19.5123437861,19.5123437861,-7.7991778844,-7.7991778844,-4.71898743827,-4.71898743827,-4.71898743827,-9.33452288909,-1.74452968947,-1.66191168011,6.73513721086
2016/12/17 04:40,-12.3827315143,-12.3827315143,-12.3827315143,-12.3827315143,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-9.30642847523,-17.5816916669,-17.5816916669,-17.5816916669,-17.5816916669,17.2225765351,17.2225765351,17.2225765351,17.2225765351,17.2225765351,17.2225765351,17.2225765351,-8.2766272391,-8.2766272391,-4.01862993488,-4.01862993488,-4.01862993488,-8.71681407393,-2.04962641854,-1.93204182084,6.60560286749
2016/12/17 04:50,-11.5129913278,-11.5129913278,-11.5129913278,-11.5129913278,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-8.92629017925,-17.2017531015,-17.2017531015,-17.2017531015,-17.2017531015,17.0075561782,17.0075561782,17.0075561782,17.0075561782,17.0075561782,17.0075561782,17.0075561782,-6.70241408219,-6.70241408219,-3.97536141481,-3.97536141481,-3.97536141481,-8.14078949577,-2.32985851176,-2.16811015095,6.08548473161
2016/12/17 05:00,-12.0344656725,-12.0344656725,-12.0344656725,-12.0344656725,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-11.5567899499,-15.4952523498,-15.4952523498,-15.4952523498,-15.4952523498,11.4409062218,11.4409062218,11.4409062218,11.4409062218,11.4409062218,11.4409062218,11.4409062218,-6.7756462016,-6.7756462016,-3.37540434023,-3.37540434023,-3.37540434023,-7.582070161,-0.307255241011,-0.139785247674,5.65120475286
2016/12/17 05:10,-11.6042198112,-11.6042198112,-11.6042198112,-11.6042198112,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-9.87472752191,-16.8694982045,-16.8694982045,-16.8694982045,-16.8694982045,17.4729670873,17.4729670873,17.4729670873,17.4729670873,17.4729670873,17.4729670873,17.4729670873,-7.24332951386,-7.24332951386,-4.53011651136,-4.53011651136,-4.53011651136,-8.34130821599,0.13112979941,0.339939787067,4.83001579249
2016/12/17 05:20,-1.62398868006,-1.62398868006,-1.62398868006,-1.62398868006,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-11.4842970789,-16.8687135654,-16.8687135654,-16.8687135654,-16.8687135654,21.2200238165,21.2200238165,21.2200238165,21.2200238165,21.2200238165,21.2200238165,21.2200238165,-6.38824186688,-6.38824186688,-5.30349624984,-5.30349624984,-5.30349624984,-7.13629092629,0.679094465743,0.775149801149,3.88682846846
2016/12/17 05:30,-7.22496947178,-7.22496947178,-7.22496947178,-7.22496947178,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-10.5125322087,-14.7977378852,-14.7977378852,-14.7977378852,-14.7977378852,18.7200502108,18.7200502108,18.7200502108,18.7200502108,18.7200502108,18.7200502108,18.7200502108,-6.54680274627,-6.54680274627,-5.20234565001,-5.20234565001,-5.20234565001,-7.22799903272,0.664307959582,0.62040906508,5.3688713286
