電廠名稱,地址,緯度,經度,機組名稱,商轉日期,裝置容量(瓩),燃料種類
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,23.563566,119.658585,尖十一機,92.01.29,"11,000",重油
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,23.563566,119.658585,尖十二機,92.01.19,"11,000",重油
金門塔山,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔一機,89.07.01,"7,900",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔二機,89.07.23,"7,900",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔三機,89.09.27,"7,900",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔四機,89.10.28,"7,900",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔五機,92.03.24,"8,250",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔六機,92.03.30,"8,250",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔七機,93.02.27,"8,250",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,塔八機,92.01.27,"8,250",重油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏一機,71.07.20,"3,168",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏二機,71.07.20,"3,168",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏三機,78.11.17,"3,512",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏四機,82.05.03,"3,488",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏五機,82.05.03,"3,488",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,夏六機,82.05.03,"3,488",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,麒麟五機,80.11.15,"1,540",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,麒麟六機,80.11.15,"1,540",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,麒麟七機,91.01.29,"1,000",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,麒麟八機,91.02.03,"1,000",輕柴油
塔山發電廠,89346金門縣金城鎮金水里西海路一段2號,24.414316,118.282174,麒麟九機,95.08.23,"1,000",輕柴油
烏來&桂山&粗坑,23160 新北市新店區桂山路37號,24.903,121.560642,烏來#1機,39.12,"11,250",水
